,title,studio,domestic_gross,foreign_gross,year
0,Toy Story 3,BV,415000000,652000000,2010-01-01
1,Alice in Wonderland (2010),BV,334200000,691300000,2010-01-01
2,Harry Potter and the Deathly Hallows Part 1,WB,296000000,664300000,2010-01-01
3,Inception,WB,292600000,535700000,2010-01-01
4,Shrek Forever After,P/DW,238700000,513900000,2010-01-01
5,The Twilight Saga: Eclipse,Sum.,300500000,398000000,2010-01-01
6,Iron Man 2,Par.,312400000,311500000,2010-01-01
7,Tangled,BV,200800000,391000000,2010-01-01
8,Despicable Me,Uni.,251500000,291600000,2010-01-01
9,How to Train Your Dragon,P/DW,217600000,277300000,2010-01-01
10,Clash of the Titans (2010),WB,163200000,330000000,2010-01-01
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000,311300000,2010-01-01
12,The King's Speech,Wein.,135500000,275400000,2010-01-01
13,Tron Legacy,BV,172100000,228000000,2010-01-01
14,The Karate Kid,Sony,176600000,182500000,2010-01-01
15,Prince of Persia: The Sands of Time,BV,90800000,245600000,2010-01-01
16,Black Swan,FoxS,107000000,222400000,2010-01-01
17,Megamind,P/DW,148400000,173500000,2010-01-01
18,Robin Hood,Uni.,105300000,216400000,2010-01-01
19,The Last Airbender,Par.,131800000,187900000,2010-01-01
20,Little Fockers,Uni.,148400000,162200000,2010-01-01
21,Resident Evil: Afterlife,SGem,60100000,240100000,2010-01-01
22,Shutter Island,Par.,128000000,166800000,2010-01-01
23,Salt,Sony,118300000,175200000,2010-01-01
24,Sex and the City 2,WB (NL),95300000,193000000,2010-01-01
25,The Tourist,Sony,67600000,210700000,2010-01-01
26,The Expendables,LGF,103100000,171400000,2010-01-01
27,Grown Ups,Sony,162000000,109400000,2010-01-01
28,Knight & Day,Fox,76400000,185500000,2010-01-01
29,True Grit,Par.,171200000,81000000,2010-01-01
30,Gulliver's Travels,Fox,42800000,194600000,2010-01-01
31,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000,137700000,2010-01-01
32,The Social Network,Sony,97000000,128000000,2010-01-01
33,Valentine's Day,WB (NL),110500000,106000000,2010-01-01
34,The Sorcerer's Apprentice,BV,63200000,152100000,2010-01-01
35,Due Date,WB,100500000,111200000,2010-01-01
36,Eat Pray Love,Sony,80600000,124000000,2010-01-01
37,Yogi Bear,WB,100200000,101300000,2010-01-01
38,Red,Sum.,90400000,108600000,2010-01-01
39,Paranormal Activity 2,Par.,84800000,92800000,2010-01-01
40,The A-Team,Fox,77200000,100000000,2010-01-01
41,Jackass 3-D,Par.,117200000,54500000,2010-01-01
42,The Other Guys,Sony,119200000,51200000,2010-01-01
43,Unstoppable,Fox,81600000,86200000,2010-01-01
44,Step Up 3-D,BV,42400000,116900000,2010-01-01
45,The Book of Eli,WB,94800000,62300000,2010-01-01
46,The Town,WB,92200000,61800000,2010-01-01
47,Date Night,Fox,98700000,53600000,2010-01-01
48,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000,84400000,2010-01-01
49,The Wolfman,Uni.,62000000,77800000,2010-01-01
50,The Bounty Hunter,Sony,67099999,69300000,2010-01-01
51,Saw 3D,LGF,45700000,90400000,2010-01-01
52,Wall Street: Money Never Sleeps,Fox,52500000,82300000,2010-01-01
53,The Fighter,Par.,93600000,35600000,2010-01-01
54,Predators,Fox,52000000,75200000,2010-01-01
55,A Nightmare on Elm Street (2010),WB (NL),63100000,52600000,2010-01-01
56,Dear John,SGem,80000000,35000000,2010-01-01
57,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000,68900000,2010-01-01
58,Tooth Fairy,Fox,60000000,52400000,2010-01-01
59,Life as We Know It,WB,53400000,52300000,2010-01-01
60,Hereafter,WB,32700000,72500000,2010-01-01
61,The Girl with the Dragon Tattoo,MBox,10100000,94300000,2010-01-01
62,Love and Other Drugs,Fox,32400000,70500000,2010-01-01
63,Aftershock (Tangshan Dadizhen),CL,63000,100200000,2010-01-01
64,Killers,LGF,47100000,51100000,2010-01-01
65,Kick-Ass,LGF,48100000,48100000,2010-01-01
66,Green Zone,Uni.,35100000,59800000,2010-01-01
67,Nanny McPhee Returns,Uni.,29000000,64200000,2010-01-01
68,Get Him to the Greek,Uni.,61000000,30300000,2010-01-01
69,Burlesque,SGem,39400000,50100000,2010-01-01
70,The Last Song,BV,63000000,26100000,2010-01-01
71,Dinner for Schmucks,P/DW,73000000,13800000,2010-01-01
72,Marmaduke,Fox,33600000,50100000,2010-01-01
73,Piranha 3D,W/Dim.,25000000,58200000,2010-01-01
74,Oceans,BV,19400000,63200000,2010-01-01
75,Edge of Darkness,WB,43300000,37800000,2010-01-01
76,Vampires Suck,Fox,36700000,43900000,2010-01-01
77,Letters to Juliet,Sum.,53000000,26100000,2010-01-01
78,The Back-Up Plan,CBS,37500000,40000000,2010-01-01
79,If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000,75600000,2010-01-01
80,Diary of a Wimpy Kid,Fox,64000000,11700000,2010-01-01
81,Easy A,SGem,58400000,16600000,2010-01-01
82,Hubble 3D,WB,52400000,21500000,2010-01-01
83,Takers,SGem,57700000,11300000,2010-01-01
84,Tales from Earthsea,BV,48500,68600000,2010-01-01
85,Legion (2010),SGem,40200000,27800000,2010-01-01
86,The American,Focus,35600000,32299999,2010-01-01
87,The Last Exorcism,LGF,41000000,26700000,2010-01-01
88,The Next Three Days,LGF,21100000,46300000,2010-01-01
89,The Girl Who Played with Fire,MBox,7600000,59500000,2010-01-01
90,Skyline,Uni.,21400000,45400000,2010-01-01
91,Hot Tub Time Machine,MGM,50300000,14300000,2010-01-01
92,Devil,Uni.,33600000,29100000,2010-01-01
93,127 Hours,FoxS,18300000,42400000,2010-01-01
94,Tyler Perry's Why Did I Get Married Too?,LGF,60100000,578000,2010-01-01
95,Secretariat,BV,59700000,537000,2010-01-01
96,The Ghost Writer,Sum.,15500000,44700000,2010-01-01
97,Morning Glory,Par.,31000000,29000000,2010-01-01
98,Remember Me,Sum.,19100000,37000000,2010-01-01
99,Cop Out,WB,44900000,10700000,2010-01-01
